# Goal Position: [0.5, 0.1, 0.5]
# Goal Orientation: [0.70709, 9.8864e-05, 0.70712, -2.1146e-05]
# Goal Tolerance: 0.01
# Angular Tolerance: 0.05
# Num Joints: 7
# Planning Method: task_space
time_s,pos_x_m,pos_y_m,pos_z_m,q_x,q_y,q_z,q_w,vel_x_m_s,vel_y_m_s,vel_z_m_s,ang_vel_x_rad_s,ang_vel_y_rad_s,ang_vel_z_rad_s,min_obstacle_clearance_m,att_force_x_N,att_force_y_N,att_force_z_N,joint_1_rad,joint_2_rad,joint_3_rad,joint_4_rad,joint_5_rad,joint_6_rad,joint_7_rad,joint_vel_1_rad_s,joint_vel_2_rad_s,joint_vel_3_rad_s,joint_vel_4_rad_s,joint_vel_5_rad_s,joint_vel_6_rad_s,joint_vel_7_rad_s,joint_torque_1_N_m,joint_torque_2_N_m,joint_torque_3_N_m,joint_torque_4_N_m,joint_torque_5_N_m,joint_torque_6_N_m,joint_torque_7_N_m
0.26,0.232409,0.00202037,0.297569,0.707161,4.98813e-05,0.707053,-0.000106317,0.0213535,0.00781866,0.0161538,-2.84442e-05,-2.93901e-05,-7.63295e-06,inf,0,0,0,0.00793542,-0.0236785,0.00799568,0.0138824,0.0157111,-1.5331,-0.000331901,-0.0282082,0.0838772,-0.0286516,-0.0521234,-0.0569694,-0.135987,0.00282591,0,0,0,0,0,0,0
0.28,0.232836,0.00217674,0.297892,0.707161,4.97342e-05,0.707052,-0.000106062,0.0213535,0.00781866,0.0161538,-2.84214e-05,-2.94784e-05,-7.54765e-06,inf,0,0,0,0.00850118,-0.0253599,0.00857109,0.0149263,0.016855,-1.53037,-0.000392863,-0.0282881,0.0840698,-0.0287706,-0.0521951,-0.0571929,-0.136267,0.00304813,0,0,0,0,0,0,0
0.3,0.233263,0.00233312,0.298215,0.707161,4.95866e-05,0.707052,-0.000105808,0.0213535,0.00781866,0.0161538,-2.83989e-05,-2.9567e-05,-7.46242e-06,inf,0,0,0,0.00906506,-0.0270308,0.00914536,0.0159742,0.0179961,-1.52766,-0.00045801,-0.0281943,0.0835442,-0.0287136,-0.0523961,-0.0570586,-0.135943,0.00325731,0,0,0,0,0,0,0
0.32,0.23369,0.00248949,0.298538,0.707162,4.94386e-05,0.707052,-0.000105554,0.0213535,0.00781866,0.0161538,-2.83766e-05,-2.96558e-05,-7.37725e-06,inf,0,0,0,0.00962141,-0.0286607,0.00971272,0.0170317,0.0191229,-1.52497,-0.000526762,-0.0278171,0.0814968,-0.0283681,-0.0528729,-0.0563382,-0.134344,0.0034376,0,0,0,0,0,0,0
0.34,0.234117,0.00264586,0.298861,0.707162,4.92902e-05,0.707052,-0.000105301,0.0213535,0.00781866,0.0161538,-2.83546e-05,-2.97449e-05,-7.29216e-06,inf,0,0,0,0.0101795,-0.0302952,0.0102826,0.0180904,0.0202545,-1.52228,-0.000599937,-0.0279034,0.0817242,-0.0284946,-0.0529358,-0.0565788,-0.134649,0.00365877,0,0,0,0,0,0,0
0.36,0.234544,0.00280224,0.299184,0.707162,4.91413e-05,0.707052,-0.000105049,0.0213535,0.00781866,0.0161538,-2.83328e-05,-2.98343e-05,-7.20713e-06,inf,0,0,0,0.0107357,-0.0319197,0.0108514,0.019153,0.0213835,-1.51959,-0.000677213,-0.0278117,0.0812215,-0.0284401,-0.0531303,-0.056452,-0.134341,0.00386379,0,0,0,0,0,0,0
0.38,0.234971,0.00295861,0.299507,0.707162,4.8992e-05,0.707051,-0.000104798,0.0213535,0.00781866,0.0161538,-2.83113e-05,-2.99239e-05,-7.12216e-06,inf,0,0,0,0.0112895,-0.0335301,0.0114185,0.0202202,0.0225088,-1.51691,-0.000758495,-0.0276898,0.0805234,-0.028355,-0.0533595,-0.0562636,-0.133869,0.0040641,0,0,0,0,0,0,0
0.4,0.235398,0.00311498,0.29983,0.707162,4.88422e-05,0.707051,-0.000104547,0.0213535,0.00781866,0.0161538,-2.829e-05,-3.00138e-05,-7.03726e-06,inf,0,0,0,0.0118355,-0.0350988,0.0119784,0.021297,0.0236192,-1.51427,-0.000843108,-0.0273008,0.0784361,-0.0279965,-0.053841,-0.0555205,-0.132232,0.00423063,0,0,0,0,0,0,0
0.42,0.235826,0.00327136,0.300153,0.707163,4.8692e-05,0.707051,-0.000104297,0.0213535,0.00781866,0.0161538,-2.8269e-05,-3.0104e-05,-6.95242e-06,inf,0,0,0,0.0123833,-0.0366722,0.012541,0.022375,0.0247347,-1.51162,-0.000932112,-0.0273909,0.0786688,-0.0281281,-0.0538997,-0.055774,-0.132537,0.00445024,0,0,0,0,0,0,0
0.44,0.236253,0.00342773,0.300476,0.707163,4.85413e-05,0.707051,-0.000104048,0.0213535,0.00781866,0.0161538,-2.82483e-05,-3.01944e-05,-6.86764e-06,inf,0,0,0,0.0129294,-0.0382359,0.0131025,0.0234568,0.0258478,-1.50897,-0.00102511,-0.027301,0.0781829,-0.0280758,-0.0540881,-0.0556546,-0.132239,0.00464978,0,0,0,0,0,0,0
