# Goal Position: [0.5, 0.2, 0.4]
# Goal Orientation: [0.70709, 9.8864e-05, 0.70712, -2.1146e-05]
# Goal Tolerance: 0.01
# Angular Tolerance: 0.05
# Num Joints: 7
# Planning Method: task_space
time_s,pos_x_m,pos_y_m,pos_z_m,q_x,q_y,q_z,q_w,vel_x_m_s,vel_y_m_s,vel_z_m_s,ang_vel_x_rad_s,ang_vel_y_rad_s,ang_vel_z_rad_s,min_obstacle_clearance_m,att_force_x_N,att_force_y_N,att_force_z_N,joint_1_rad,joint_2_rad,joint_3_rad,joint_4_rad,joint_5_rad,joint_6_rad,joint_7_rad,joint_vel_1_rad_s,joint_vel_2_rad_s,joint_vel_3_rad_s,joint_vel_4_rad_s,joint_vel_5_rad_s,joint_vel_6_rad_s,joint_vel_7_rad_s,joint_torque_1_N_m,joint_torque_2_N_m,joint_torque_3_N_m,joint_torque_4_N_m,joint_torque_5_N_m,joint_torque_6_N_m,joint_torque_7_N_m
0,0.22702,-4.73825e-07,0.293533,0.707046,-4.58695e-05,0.707167,-1.07363e-05,0.0146182,0.0107101,0.00570133,-2.85462e-05,1.92648e-05,3.2952e-05,inf,0.818939,0.600001,0.3194,0.000493278,-7.8879e-05,0.000493271,0.000953559,0.00101714,-1.56994,6.86907e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.02,0.227313,0.000213729,0.293647,0.707046,-4.63044e-05,0.707167,-1.07675e-05,0.0215755,0.0158075,0.00841481,-2.86452e-05,1.93227e-05,3.30378e-05,inf,0.818061,0.599359,0.319058,0.00172759,-0.000585324,0.00172769,0.00214798,0.00348761,-1.56824,6.18546e-05,-0.0617157,0.0253223,-0.0617209,-0.0597211,-0.123523,-0.0849526,0.000341806,0,0,0,0,0,0,0
0.04,0.227744,0.000529878,0.293816,0.707046,-4.67405e-05,0.707167,-1.07986e-05,0.0207736,0.0152199,0.00810204,-2.87444e-05,1.93807e-05,3.31239e-05,inf,0.816767,0.59841,0.318553,0.0028896,-0.00111361,0.00289017,0.00329186,0.00581284,-1.56657,4.86622e-05,-0.0581003,0.0264142,-0.058124,-0.0571938,-0.116261,-0.0835623,0.000659617,0,0,0,0,0,0,0
0.06,0.22816,0.000834276,0.293978,0.707046,-4.7178e-05,0.707168,-1.08296e-05,0.0215755,0.0158075,0.00841481,-2.88439e-05,1.9439e-05,3.32103e-05,inf,0.815521,0.597497,0.318067,0.00409576,-0.00167678,0.00409722,0.00447985,0.00822709,-1.56482,2.79487e-05,-0.0603079,0.0281586,-0.0603528,-0.0593998,-0.120713,-0.0875313,0.00103568,0,0,0,0,0,0,0
0.08,0.228591,0.00115043,0.294146,0.707046,-4.76168e-05,0.707168,-1.08605e-05,0.0209474,0.0153473,0.00816983,-2.89437e-05,1.94974e-05,3.32969e-05,inf,0.814226,0.596549,0.317562,0.00525088,-0.00221217,0.00525362,0.00563778,0.0105392,-1.56313,1.30023e-06,-0.0577563,0.0267694,-0.0578199,-0.0578963,-0.115607,-0.0846332,0.00133242,0,0,0,0,0,0,0
0.1,0.22901,0.00145737,0.29431,0.707046,-4.80569e-05,0.707168,-1.08913e-05,0.0215755,0.0158075,0.00841481,-2.90437e-05,1.95559e-05,3.33839e-05,inf,0.812969,0.595628,0.317071,0.00644629,-0.00276586,0.00645077,0.0068326,0.012933,-1.56138,-3.32023e-05,-0.0597706,0.0276845,-0.0598573,-0.0597409,-0.11969,-0.0873987,0.00172513,0,0,0,0,0,0,0
0.12,0.229442,0.00177352,0.294478,0.707046,-4.84983e-05,0.707168,-1.0922e-05,0.0210722,0.0154387,0.00821851,-2.9144e-05,1.96147e-05,3.34712e-05,inf,0.811675,0.594679,0.316567,0.00759587,-0.00328675,0.00760242,0.00800558,0.015235,-1.55969,-7.32708e-05,-0.0574786,0.0260447,-0.0575825,-0.0586492,-0.115098,-0.0846515,0.00200342,0,0,0,0,0,0,0
0.14,0.229863,0.00208229,0.294642,0.707045,-4.89411e-05,0.707168,-1.09526e-05,0.0215755,0.0158075,0.00841481,-2.92446e-05,1.96736e-05,3.35587e-05,inf,0.81041,0.593753,0.316073,0.00876722,-0.00380753,0.00877629,0.00921138,0.0175811,-1.55796,-0.000120997,-0.0585674,0.0260386,-0.0586936,-0.0602901,-0.117305,-0.0862758,0.00238633,0,0,0,0,0,0,0
0.16,0.230295,0.00239844,0.29481,0.707045,-4.93852e-05,0.707168,-1.09832e-05,0.0211657,0.0155072,0.00825496,-2.93454e-05,1.97327e-05,3.36466e-05,inf,0.809116,0.592805,0.315569,0.00992071,-0.00432192,0.00993268,0.0103961,0.0198925,-1.55626,-0.000174683,-0.0576748,0.0257197,-0.0578194,-0.059238,-0.11557,-0.0849097,0.00268428,0,0,0,0,0,0,0
0.18,0.230718,0.00270859,0.294976,0.707045,-4.98306e-05,0.707168,-1.10136e-05,0.0215755,0.0158075,0.00841481,-2.94465e-05,1.9792e-05,3.37348e-05,inf,0.807846,0.591874,0.315073,0.0110838,-0.00482838,0.0110991,0.0116096,0.0222233,-1.55455,-0.000235845,-0.0581547,0.0253232,-0.058321,-0.0606713,-0.116543,-0.0859288,0.00305812,0,0,0,0,0,0,0
