# Goal Position: [0.42331, 0.13272, 0.52843]
# Goal Orientation: [0.70709, 9.8864e-05, 0.70712, -2.1146e-05]
# Goal Tolerance: 0.01
# Angular Tolerance: 0.05
# Num Joints: 7
# Planning Method: whole_body_velocity
time_s,pos_x_m,pos_y_m,pos_z_m,q_x,q_y,q_z,q_w,vel_x_m_s,vel_y_m_s,vel_z_m_s,ang_vel_x_rad_s,ang_vel_y_rad_s,ang_vel_z_rad_s,min_obstacle_clearance_m,,joint_1_rad,joint_2_rad,joint_3_rad,joint_4_rad,joint_5_rad,joint_6_rad,joint_7_rad,joint_vel_1_rad_s,joint_vel_2_rad_s,joint_vel_3_rad_s,joint_vel_4_rad_s,joint_vel_5_rad_s,joint_vel_6_rad_s,joint_vel_7_rad_s
0.28,0.243398,0.0100543,0.312279,0.674302,0.0153391,0.738124,-0.0159507,0.0503193,0.0272611,0.0509327,0.0045043,-0.20885,0.102808,inf,0.0195315,-0.0287998,0.0195794,0.066723,-0.00517948,-1.56557,-8.71754e-05,0.0510787,-0.0655088,0.0514083,0.199725,-0.000355866,0.0563319,-0.000725918
0.3,0.244405,0.0105995,0.313298,0.672742,0.0160324,0.739515,-0.0167078,0.0495766,0.0263763,0.049284,0.00454876,-0.197622,0.0973914,inf,0.020553,-0.03011,0.0206076,0.0707175,-0.00518659,-1.56444,-0.000101694,0.0492485,-0.0618625,0.049594,0.195782,0.0014149,0.0599664,-0.000793434
0.32,0.245396,0.011127,0.314283,0.671263,0.0166869,0.740827,-0.0174269,0.0488786,0.0255343,0.0477147,0.00458076,-0.186977,0.0922656,inf,0.021538,-0.0313472,0.0215995,0.0746331,-0.0051583,-1.56324,-0.000117562,0.0475162,-0.0584153,0.0478769,0.192019,0.00309057,0.0633967,-0.000861689
0.34,0.246374,0.0116377,0.315237,0.66986,0.0173049,0.742065,-0.01811,0.0482217,0.0247332,0.0462214,0.00460245,-0.176886,0.0874154,inf,0.0224883,-0.0325155,0.022557,0.0784735,-0.00509648,-1.56198,-0.000134796,0.0458768,-0.055157,0.0462519,0.188429,0.00467625,0.0666338,-0.0009305
0.36,0.247338,0.0121324,0.316162,0.66853,0.0178883,0.743233,-0.0187588,0.0476024,0.0239716,0.0448009,0.00461572,-0.167322,0.0828265,inf,0.0234059,-0.0336187,0.0234821,0.0822421,-0.00500296,-1.56064,-0.000153406,0.0443254,-0.0520781,0.0447142,0.185001,0.00617678,0.0696878,-0.00099972
0.38,0.24829,0.0126118,0.317058,0.667269,0.0184391,0.744336,-0.0193753,0.0470178,0.0232475,0.04345,0.0046222,-0.158255,0.0784851,inf,0.0242924,-0.0346602,0.0243763,0.0859421,-0.00487942,-1.55925,-0.000173401,0.0428574,-0.0491693,0.0432592,0.181729,0.00759674,0.0725686,-0.00106923
0.4,0.249231,0.0130768,0.317927,0.666075,0.018959,0.745377,-0.0199611,0.0464651,0.0225595,0.0421658,0.00462331,-0.149662,0.0743781,inf,0.0251495,-0.0356436,0.0252415,0.0895767,-0.00472749,-1.5578,-0.000194785,0.0414684,-0.0464219,0.0418826,0.178605,0.00894048,0.0752853,-0.00113893
0.42,0.25016,0.0135279,0.31877,0.664944,0.0194498,0.746358,-0.0205179,0.0459416,0.021906,0.0409451,0.00462026,-0.141516,0.0704931,inf,0.0259789,-0.0365721,0.0260792,0.0931488,-0.00454868,-1.55629,-0.000217564,0.0401542,-0.0438276,0.0405801,0.175621,0.0102121,0.0778466,-0.00120874
0.44,0.251079,0.0139661,0.319589,0.663872,0.0199131,0.747285,-0.0210472,0.0454449,0.0212854,0.0397853,0.00461409,-0.133796,0.0668182,inf,0.026782,-0.0374486,0.0268908,0.0966612,-0.00434444,-1.55474,-0.000241739,0.0389107,-0.0413784,0.0393479,0.17277,0.0114155,0.0802608,-0.00127862
0.46,0.251988,0.0143918,0.320385,0.662857,0.0203503,0.748159,-0.0215505,0.0449731,0.0206962,0.0386836,0.00460572,-0.12648,0.0633423,inf,0.0275602,-0.0382762,0.0276777,0.100117,-0.00411613,-1.55313,-0.000267311,0.0377343,-0.0390669,0.0381822,0.170045,0.0125544,0.0825358,-0.00134851
