time_s,ee_px,ee_py,ee_pz,ee_qx,ee_qy,ee_qz,ee_qw,ee_vx,ee_vy,ee_vz,joint1,joint2,joint3,joint4,joint5,joint6,joint7
0.0,0.466,0.0,0.644,0.0,0.0,0.0,1.0,9.98844490095345,0.00092830346065276,0.4805908851296675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0015499591827392578,1.4648445049792878,9.283034744855595e-05,0.692059089229103,0.0,0.0,0.0,1.0,-0.9868445049792878,-0.11760583034744856,-0.692059089229103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.001932382583618164,1.366160053010846,-0.011667752862542643,0.6228531792749443,0.0,0.0,0.0,1.0,-0.888160053010846,-0.10584524713745737,-0.6228531792749443,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002305269241333008,1.2773440463862997,-0.02225227773401009,0.5605678604193264,0.0,0.0,0.0,1.0,-0.7993440463862997,-0.09526072226598992,-0.5605678604193264,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0027785301208496094,1.1974096405565544,-0.03177835010255862,0.5045110735420826,0.0,0.0,0.0,1.0,-0.7194096405565544,-0.0857346498974414,-0.5045110735420826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0031418800354003906,1.1254686754288952,-0.04035181522005734,0.4540599654360942,0.0,0.0,0.0,1.0,-0.6474686754288952,-0.07716118477994266,-0.4540599654360942,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.00347900390625,1.060721806921202,-0.04806793381303073,0.40865396821588273,0.0,0.0,0.0,1.0,-0.5827218069212021,-0.06944506618696927,-0.40865396821588273,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0037882328033447266,1.0024496253607587,-0.05501244053520887,0.3677885707853526,0.0,0.0,0.0,1.0,-0.5244496253607587,-0.06250055946479113,-0.3677885707853526,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004111528396606445,0.9500046620431919,-0.06126249657482108,0.33100971315876965,0.0,0.0,0.0,1.0,-0.4720046620431919,-0.05625050342517892,-0.33100971315876965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004425764083862305,0.9028041951355309,-0.06688754700115876,0.2979087413496498,0.0,0.0,0.0,1.0,-0.4248041951355309,-0.05062545299884125,-0.2979087413496498,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.004739522933959961,0.8603237749889703,-0.07195009237648069,0.2681178667707662,0.0,0.0,0.0,1.0,-0.3823237749889703,-0.04556290762351932,-0.2681178667707662,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005034446716308594,0.8220913969203665,-0.07650638320672665,0.24130607969416284,0.0,0.0,0.0,1.0,-0.3440913969203665,-0.04100661679327336,-0.24130607969416284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005323171615600586,0.7876822567155937,-0.0806070449471586,0.21717547136517248,0.0,0.0,0.0,1.0,-0.3096822567155937,-0.0369059550528414,-0.21717547136517246,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005602598190307617,0.7567140305825718,-0.0842976405074369,0.19545792390503858,0.0,0.0,0.0,1.0,-0.2787140305825718,-0.0332153594925631,-0.19545792390503858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.005899190902709961,0.7288426271089984,-0.08761917650618796,0.17591213122327973,0.0,0.0,0.0,1.0,-0.2508426271089984,-0.02989382349381205,-0.17591213122327973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0062062740325927734,0.7037583640243139,-0.09060855890011443,0.15832091783882224,0.0,0.0,0.0,1.0,-0.22575836402431393,-0.026904441099885573,-0.15832091783882224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
